CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Ativo;Principais_Caracteristicas;Valor
63.104.203/0001-48;2026-03-31;1;PMNE Garantido;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;9532371.11
63.104.203/0001-48;2026-03-31;1;Ambev CDDs Celpa;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;2636427.14
63.104.203/0001-48;2026-03-31;1;Ambev CDDs CPFL-Piratininga;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;1769691.23
63.104.203/0001-48;2026-03-31;1;Ambev CDDs Elektro1;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;477427.49
63.104.203/0001-48;2026-03-31;1;PMNE Rei do Sol;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;10185932.61
63.104.203/0001-48;2026-03-31;1;PMNE Catolé;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;8998599.09
63.104.203/0001-48;2026-03-31;1;Aegea Pará - Concórdia;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;23357538.46
63.104.203/0001-48;2026-06-30;1;Ambev CDDs ENF;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating ou pulverizadas), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;638332.646789563
63.104.203/0001-48;2026-06-30;1;Ambev CDDs ESS1;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating ou pulverizadas), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;373934.509066075
63.104.203/0001-48;2026-06-30;1;Ambev CDDs ESS2;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating ou pulverizadas), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;380733.318321822
