CNPJ_Fundo_Classe;Data_Referencia;Versao;Classe;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Vacancia;Percentual_Inadimplencia;Percentual_Receitas_FII;Percentual_Locado;Percentual_Vendido;Percentual_Conclusao_Obras_Realizado;Percentual_Conclusao_Obras_Previsto;Custo_Construcao_Realizado;Custo_Construcao_Previsto;Percentual_Imovel_Total_Investido
44.669.674/0001-59;2026-03-31;1;Imóveis para venda acabados;LOTE H-06;Alphaville Dom Pedro Zero - Qd. H, Lt 06 - Alphaville Dom Pedro - Campinas-SP - 13092-599;2838.3;1;Matricula 147.130;;;;;;;;;;0
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_52738;RUA VITORIA PERDÃO PETIGROSSO 1500 /115- VILA FAUSTO N MORELLI;0;1;52738;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;119344_44669;Av Manoel de Abreu,790- Náutica  G4 -São Vicente/SP - CEP:11355-400;445.3;1;Matricula 60691;0;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;PRED FRANKEL;Avenida Embaixador Macedo Soares, 729. Lapa, São Paulo - SP, 5307200;4673.56;1;Matrícula 23480;0;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_28442;RUA MANUEL DO ESPIRITO SANTO  BAIRRO LOTE 27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45;0;1;28442;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_8704;RUA ANTONIO FREDERICO OZANAM, 1901;0;1;8704;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_108073;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_11577;AV. GETULIO VARGAS  ESQUINA COM A RUA CAIUBY;0;1;11577;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_17087;AV. PEDRO CELESTINO LEITE PENTEADO 261  - GP 01;0;1;17087;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_160356;ESTRADA DA BOCAIANA;0;1;160356;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_108068;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_71904;RUA GERALDO FRAGA DE OLIVEIRA, Nº 121/123;0;1;71904;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_52058;Rua Cavalheiro Adelson Riesco , s/n - Quadra 5 Lote A/B .;0;1;52058;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para venda acabados;CAJAMAR (SP);Rodovia Anhanguera - BR - 050 - Guatorinho - Cajamar-SP - 07750-000;305132.63;1;Matrícula 110.584;;;;;;;;;;0
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_27529;AV. VICTOR CIVITA - LOTE 11- JARDIM SANTA MARIA;0;1;27529;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_22430;RUA ANTONIO LOPES DA SILVA, 36;0;1;22430;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_108006;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_215677;AVENIDA PRESIDENTE KENNEDY CASA 01;0;1;215677;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_108050;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_107996;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_108064;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_160167;AV. SAPOPEMBA, Nº 6047 - LOTE 123/124;0;1;160167;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_42657;AVENIDA LUCAS DA CRUZ CARVALHO - LOTE 268;0;1;42657;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_107987;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_107993;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_108072;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_108084;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_108059;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_108002;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_108036;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;TAMUATA CASA;Rua Tamuata, 45. São João Climaco, São Paulo - SP, 4255140;136;1;Matrícula 72997;0;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_108023;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;UNIP_26658;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;CARIACI_9759;Rod. BR 101 Norte Contorno - KM 287,3, S/N - Porto de Cariacica - Cariacica-es 29156-571;9759;1;Matrícula 9.759;0;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Green_227579;AV  BONNARD - Nº 980 - INFRA CABEAMENTO;0;1;227579;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_28269;AV. MARIA NUNES CORREA BAIRRO ELISEOS LOTE 02,03,04,05,06,07,08,09,10,11,12 19,20,21,22 E 23 (13 IPTUs);0;1;28269;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_45353;AV. DOS AUTONOMISTAS, N 2400-2394;0;1;45353;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_171894;ESTRADA DE TAIPAS, Nº 2711 - LOTE 27;0;1;171894;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_107963;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FAZENDA BARR;Rodovia Fernão Dias, 537 - Distrito Industrial Paulo Camilo - Betim-MG 32684-198;26034;1;Matrícula 90.559;0.11217;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Green_6708;RUA JOÃO ORTEGA SANCHES - Nº 65, 137/164/165;0;1;6708;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_108057;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_335037;RUA PIRAJU, 267;0;1;335037;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_97605;AV. OLIVEIRA FREIRE   / R. ASCENSO FERNANDES - SÃO MIGUEL PAULISTA;0;1;97605;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_28270;AV. MARIA NUNES CORREA BAIRRO ELISEOS LOTE 02,03,04,05,06,07,08,09,10,11,12 19,20,21,22 E 23 (13 IPTUs);0;1;28270;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Green_227582;AV  BONNARD - Nº 980 - INFRA CABEAMENTO;0;1;227582;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_107985;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_16104;AV. CURIO, 131 - LOTE 15 C -  LOTE 16 A B C - QUADRA F;0;1;16104;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_108015;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;UNIP_26659;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_119850;AV ANHAIA MELO - RUA SERROLÂNDIA  , LOTE 1 - 2 - 3 - 29;0;1;119850;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_45356;AV. DOS AUTONOMISTAS, N 2400-2394;0;1;45356;0.005851;0;0;;;;;;;
