CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
57.961.321/0001-70;2025-09-30;1;AVENIDA DOUTOR MARTIN LUTHER KING, S/N - LOTE 2 QD 1 - Umuarama - Osasco - SP;5288.62;Loteamento Jardim Santo Antoninho;0.25;0.43
57.961.321/0001-70;2025-09-30;1;AVENIDA DOUTOR MARTIN LUTHER KING, S/N - LOTE 3 QD 1 - Umuarama - Osasco - SP;5767.73;Loteamento Jardim Santo Antoninho;0.27;0.4689
57.961.321/0001-70;2025-09-30;1;ALAMEDA PAINEIRA VERMELHA, 168 - LOTE 4 QD 11 - Adalgisa - Osasco - SP;4902.69;Loteamento Jardim Lorian;0.23;0.354
57.961.321/0001-70;2025-09-30;1;AVENIDA MANOEL DE NÓBREGA - RADIALISTA, S/N - L 11 Q H - Adalgisa - Osasco - SP;435;Loteamento Jardim Adalgiza II;0.02;0.0314
57.961.321/0001-70;2025-09-30;1;ALAMEDA PAINEIRA VERMELHA, 146 - LOTE 3 QD 11 - Adalgisa - Osasco - SP;5004.19;Loteamento Jardim Lorian;0.23;0.4099
57.961.321/0001-70;2025-12-31;1;AVENIDA DOUTOR MARTIN LUTHER KING, S/N - LOTE 2 QD 1 - Umuarama - Osasco - SP;5288.62;Loteamento Jardim Santo Antoninho;0.2255;0.2802
57.961.321/0001-70;2025-12-31;1;AVENIDA DOUTOR MARTIN LUTHER KING, S/N - LOTE 3 QD 1 - Umuarama - Osasco - SP;5767.73;Loteamento Jardim Santo Antoninho;0.2454;0.305
57.961.321/0001-70;2025-12-31;1;ALAMEDA PAINEIRA VERMELHA, 168 - LOTE 4 QD 11 - Adalgisa - Osasco - SP;4902.69;Loteamento Jardim Lorian;0.1724;0.2131
57.961.321/0001-70;2025-12-31;1;AVENIDA MANOEL DE NÓBREGA - RADIALISTA, S/N - L 11 Q H - Adalgisa - Osasco - SP;435;Loteamento Jardim Adalgiza II;0.0156;0.0193
57.961.321/0001-70;2025-12-31;1;ALAMEDA PAINEIRA VERMELHA, 146 - LOTE 3 QD 11 - Adalgisa - Osasco - SP;5004.19;Loteamento Jardim Lorian;0.1832;0.2265
57.961.321/0001-70;2025-12-31;1;Alameda Jaú, 1754, Jardim Paulista - São Paulo - SP;7312.72;Ed. San Marino;0.1579;0.1952
58.350.082/0001-84;2025-09-30;1;Avenida Horacio Lafer, 73, Sem Complemento, Itaim Bibi, São Paulo/SP, Brasil, 04538-083;1068;Direito de propriedade;79.9279634416167;86.9579234756517
58.544.087/0001-48;2025-06-30;1;Endereço;;Outras características relevantes;;
58.823.628/0001-77;2025-03-31;1;Fazenda Junior II, lote rural nº 15, situado na Gleba Alto Ronuro I, no Município de Nova Ubiratã/MT, matricula nº 4.911 do 1º RGI de Nova Ubiratã/MT;1546.57;Integralização no Fiagro FII;0.9762;0.9762
58.823.628/0001-77;2025-06-30;1;Fazenda Junior II, lote rural nº 15, situado na Gleba Alto Ronuro I, no Município de Nova Ubiratã/MT, matricula nº 4.911 do 1º RGI de Nova Ubiratã/MT;1546.57;Integralização no Fiagro FII;0.9762;0.9762
59.693.395/0001-06;2025-06-30;1;com 70,67ha registrada, matrícula 5.620, do Cartório de Registro de Imóveis de Aiuruoca/MG, Município de Serranos/MG e georreferenciada 68,31ha.;683100;com 70,67ha registrada, matrícula 5.620, do Cartório de Registro de Imóveis de Aiuruoca/MG, Município de Serranos/MG e georreferenciada 68,31ha.;0;0
59.693.395/0001-06;2025-06-30;1;com 79,67ha registrada, matrícula 5.622, do Cartório de Registro de Imóveis de Aiuruoca/MG, Município de Serranos/MG e georreferenciada 74,17ha.;741700;com 79,67ha registrada, matrícula 5.622, do Cartório de Registro de Imóveis de Aiuruoca/MG, Município de Serranos/MG e georreferenciada 74,17ha.;0;0
59.693.395/0001-06;2025-06-30;1;com 204,60ha registrada, matrícula 5.625, Cartório de Registro de Imóveis de Aiuruoca/MG, Município de Serranos/MG e georreferenciada 204,40ha.;2.044e+006;com 204,60ha registrada, matrícula 5.625, Cartório de Registro de Imóveis de Aiuruoca/MG, Município de Serranos/MG e georreferenciada 204,40ha.;0;0
59.693.395/0001-06;2025-06-30;1;com 107,82ha registrada, matrícula 9.727, do Cartório de Registro de Imóveis de Aiuruoca/MG, Município de Serranos/MG e georreferenciada 106,54ha.;1.0654e+006;com 107,82ha registrada, matrícula 9.727, do Cartório de Registro de Imóveis de Aiuruoca/MG, Município de Serranos/MG e georreferenciada 106,54ha.;0;0
60.220.343/0001-93;2025-09-30;1;Obramax Uberlandia;30761;n/a;0.9254;0.9196
60.522.814/0001-18;2025-06-30;1;Mandaguari/PR;0;Lote nº 290-B/A - Gleba;1;0.974
60.922.008/0001-37;2025-12-31;1;BTLP Cajamar;10286;Direito de Propriedade;1;1
60.922.008/0001-37;2025-12-31;1;BTLP Guarulhos;15288;Direito de Propriedade;1;1
60.922.008/0001-37;2025-12-31;1;BTLP Duque de Caxias;30458;Direito de Propriedade;1;1
60.922.008/0001-37;2025-12-31;1;BTLP Embu I;8218;Direito de Propriedade;1;1
60.922.008/0001-37;2025-12-31;1;BTLP Embu II;4561;Direito de Propriedade;1;1
62.293.353/0001-84;2025-12-31;1;Rua Particular, 01, com entrada pela Av. Brigadeiro Luiz Antonio, 3005, Vila Mariana.;127.5;Matricula 6212;1;0.0233
62.293.353/0001-84;2025-12-31;1;Rua Particular, 02, com entrada pela Av. Brigadeiro Luiz Antonio, 3005, Vila Mariana.;131.75;Matricula 27188;1;0.024
62.293.353/0001-84;2025-12-31;1;Rua Particular, 03, com entrada pela Av. Brigadeiro Luiz Antonio, 3005, Vila Mariana.;124.5;Matricula 103099;1;0.0212
62.293.353/0001-84;2025-12-31;1;Rua Particular, 04, com entrada pela Av. Brigadeiro Luiz Antonio, 3005, Vila Mariana.;124.5;Matricula 6297;1;0.0195
62.293.353/0001-84;2025-12-31;1;Rua Particular, 05, com entrada pela Av. Brigadeiro Luiz Antonio, 3005. Vila Mariana.;189.21;Matricula 843;1;0.0254
62.293.353/0001-84;2025-12-31;1;Rua Particular, 06, com entrada pela Av. Brigadeiro Luiz Antonio, 3005. Vila Mariana.;280;Matricula 94199;1;0.0254
62.293.353/0001-84;2025-12-31;1;Av. Brigadeiro Luiz Antonio, 299, Vila Mariana;240;Matricula 23902;1;0.0644
62.293.353/0001-84;2025-12-31;1;Av. Brigadeiro Luiz Antonio, 2985 e 2971. Vila Mariana;798;Matricula 68346;1;0.1655
62.293.353/0001-84;2025-12-31;1;Av. Brigadeiro Luiz Antonio, 3013, Vila Mariana.;248;Matricula 112610;1;0.09
62.293.353/0001-84;2025-12-31;1;Av. Brigadeiro Luiz Antonio, 3025, 3027, 3031 e 3035. Vila Mariana;523.2;Matricula 29170;1;0.1573
62.293.353/0001-84;2025-12-31;1;Av. Brigadeiro Luiz Antônio, 3039,3041 e 3043. Vila Mariana;331.36;Matricula 60206;1;0.0961
62.293.353/0001-84;2025-12-31;1;Av. Brigadeiro Luiz Antônio, 3005, Vila Mariana.;240;Matricula 60796;1;0.0881
62.293.353/0001-84;2025-12-31;1;Rua Tutóia, 70, Vila Mariana.;200;Matricula 113261;1;0.0436
62.293.353/0001-84;2025-12-31;1;Rua Tutóia, 72, Vila mariana;200;Matricula 103835;1;0.0436
62.293.353/0001-84;2025-12-31;1;Av. Brigadeiro Luiz Antônio, 3005, Vila Mariana.;376.82;Matricula 144956;1;0.1118
62.296.221/0001-06;2025-12-31;1;RuaValmirZanete,ÁreaA-Centro,Camboriu/Santa Catarina;21154.6;na;1;1.879
62.363.267/0001-09;2025-12-31;1;AV MARCOS PENTEADO DE ULHOA RODRIGUES, 1116,CIDADE TAMBORE;51886;Loteamento : CIDADE TAMBORE06543-001 - Quadra: S - Lote: 3 / 0;0.9807;0.9943
62.683.216/0001-56;2025-12-31;1;Gleba denominada Sítio da Mamãe, localizada no município de Cruz, Ceará, com limitações melhores descritas na matrícula 1.092.;228457;NA;0.081081;0.020222
62.683.216/0001-56;2025-12-31;1;Gleba denominada Fazenda Santo Estevão, situada na localidade de Caiçara, no município de Cruz, Ceará, com limitações melhores descritas na matrícula 1.127.;2.0923e+006;NA;0.565405;0.141016
62.683.216/0001-56;2025-12-31;1;Gleba denominada Fazenda Cajueirinho - Parte 01, situada na localidade de Cajueirinho, no município de Cruz, Ceará, com limitações melhores descritas na matrícula 1.749.;280121;NA;0.097297;0.024267
62.683.216/0001-56;2025-12-31;1;Gleba situada na localidade de Cajueirinho, no município de Cruz, Ceará, com limitações melhores descritas na matrícula 2.251.;369010;NA;0.123243;0.030738
62.683.216/0001-56;2025-12-31;1;Gleba denominada Fazenda Cajueirinho, situada no município de Cruz, Ceará, com limitações melhores descritas na matrícula 201.;404528;NA;0.132973;0.033164
